기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20191,11110515,청운효자동,CS100010,커피-음료,82.0,84.0,6.0,5.0,2.0,2.0,2.0
20191,11110530,사직동,CS100010,커피-음료,132.0,165.0,3.0,5.0,2.0,4.0,33.0
20191,11110540,삼청동,CS100010,커피-음료,74.0,85.0,5.0,4.0,2.0,2.0,11.0
20191,11110550,부암동,CS100010,커피-음료,34.0,38.0,5.0,2.0,3.0,1.0,4.0
20191,11110560,평창동,CS100010,커피-음료,18.0,20.0,0.0,0.0,0.0,0.0,2.0
20191,11110570,무악동,CS100010,커피-음료,4.0,7.0,14.0,1.0,0.0,0.0,3.0
20191,11110580,교남동,CS100010,커피-음료,8.0,16.0,0.0,0.0,0.0,0.0,8.0
20191,11110600,가회동,CS100010,커피-음료,53.0,64.0,2.0,1.0,2.0,1.0,11.0
20191,11110615,종로1·2·3·4가동,CS100010,커피-음료,343.0,433.0,6.0,27.0,4.0,15.0,90.0
20191,11110630,종로5·6가동,CS100010,커피-음료,73.0,87.0,6.0,5.0,2.0,2.0,14.0
20191,11110640,이화동,CS100010,커피-음료,65.0,91.0,1.0,1.0,2.0,2.0,26.0
20191,11110650,혜화동,CS100010,커피-음료,99.0,126.0,6.0,7.0,5.0,6.0,27.0
20191,11110670,창신1동,CS100010,커피-음료,19.0,20.0,0.0,0.0,0.0,0.0,1.0
20191,11110680,창신2동,CS100010,커피-음료,7.0,8.0,0.0,0.0,0.0,0.0,1.0
20191,11110690,창신3동,CS100010,커피-음료,4.0,5.0,20.0,1.0,20.0,1.0,1.0
20191,11110700,숭인1동,CS100010,커피-음료,2.0,5.0,0.0,0.0,0.0,0.0,3.0
20191,11110710,숭인2동,CS100010,커피-음료,15.0,26.0,8.0,2.0,0.0,0.0,11.0
20191,11140520,소공동,CS100010,커피-음료,98.0,149.0,7.0,11.0,3.0,5.0,51.0
20191,11140540,회현동,CS100010,커피-음료,96.0,121.0,7.0,8.0,6.0,7.0,25.0
20191,11140550,명동,CS100010,커피-음료,188.0,273.0,5.0,13.0,2.0,5.0,85.0
20191,11140570,필동,CS100010,커피-음료,68.0,99.0,8.0,8.0,4.0,4.0,31.0
20191,11140580,장충동,CS100010,커피-음료,22.0,28.0,7.0,2.0,4.0,1.0,6.0
20191,11140590,광희동,CS100010,커피-음료,84.0,110.0,8.0,9.0,5.0,5.0,26.0
20191,11140605,을지로동,CS100010,커피-음료,78.0,97.0,8.0,8.0,7.0,7.0,19.0
20191,11140615,신당동,CS100010,커피-음료,42.0,53.0,6.0,3.0,0.0,0.0,11.0
20191,11140625,다산동,CS100010,커피-음료,19.0,26.0,8.0,2.0,0.0,0.0,7.0
20191,11140635,약수동,CS100010,커피-음료,12.0,16.0,0.0,0.0,6.0,1.0,4.0
20191,11140645,청구동,CS100010,커피-음료,13.0,14.0,14.0,2.0,0.0,0.0,1.0
20191,11140650,신당5동,CS100010,커피-음료,12.0,14.0,14.0,2.0,0.0,0.0,2.0
20191,11140665,동화동,CS100010,커피-음료,12.0,14.0,7.0,1.0,0.0,0.0,2.0
20191,11140670,황학동,CS100010,커피-음료,9.0,14.0,7.0,1.0,7.0,1.0,5.0
20191,11140680,중림동,CS100010,커피-음료,30.0,36.0,8.0,3.0,3.0,1.0,6.0
20191,11170510,후암동,CS100010,커피-음료,41.0,42.0,2.0,1.0,2.0,1.0,1.0
20191,11170520,용산2가동,CS100010,커피-음료,36.0,43.0,7.0,3.0,0.0,0.0,7.0
20191,11170530,남영동,CS100010,커피-음료,48.0,64.0,2.0,1.0,3.0,2.0,16.0
20191,11170555,청파동,CS100010,커피-음료,60.0,72.0,10.0,7.0,7.0,5.0,12.0
20191,11170560,원효로1동,CS100010,커피-음료,49.0,56.0,7.0,4.0,4.0,2.0,7.0
20191,11170570,원효로2동,CS100010,커피-음료,12.0,12.0,8.0,1.0,0.0,0.0,0.0
20191,11170580,효창동,CS100010,커피-음료,20.0,21.0,14.0,3.0,0.0,0.0,1.0
20191,11170590,용문동,CS100010,커피-음료,14.0,15.0,0.0,0.0,0.0,0.0,1.0
20191,11170625,한강로동,CS100010,커피-음료,119.0,171.0,8.0,13.0,3.0,5.0,52.0
20191,11170630,이촌1동,CS100010,커피-음료,8.0,12.0,0.0,0.0,0.0,0.0,4.0
20191,11170640,이촌2동,CS100010,커피-음료,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20191,11170650,이태원1동,CS100010,커피-음료,50.0,61.0,2.0,1.0,2.0,1.0,11.0
20191,11170660,이태원2동,CS100010,커피-음료,71.0,76.0,4.0,3.0,8.0,6.0,5.0
